,title,price,link
11,"Apple iPhone 13 (Blue, 128 GB)","50,999",https://flipkart.com//apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c?pid=MOBG6VF5SMXPNQHG&lid=LSTMOBG6VF5SMXPNQHGMMXJDB&marketplace=FLIPKART&q=iphone&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=a48fe4b5-22e3-4cf2-a18b-fc4d326c6c2f.MOBG6VF5SMXPNQHG.SEARCH&ppt=sp&ppn=sp&ssid=oczu6syyj40000001723732213347&qH=0b3f45b266a97d70
12,"Apple iPhone 15 Plus (Pink, 128 GB)","79,999",https://flipkart.com//apple-iphone-15-plus-pink-128-gb/p/itmecb6209a78172?pid=MOBGTAGPXUWEXXWY&lid=LSTMOBGTAGPXUWEXXWYKVXCUT&marketplace=FLIPKART&q=iphone&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=a48fe4b5-22e3-4cf2-a18b-fc4d326c6c2f.MOBGTAGPXUWEXXWY.SEARCH&ppt=sp&ppn=sp&ssid=oczu6syyj40000001723732213347&qH=0b3f45b266a97d70
13,"Apple iPhone 13 (Pink, 128 GB)","50,999",https://flipkart.com//apple-iphone-13-pink-128-gb/p/itm6e30c6ee045d2?pid=MOBG6VF5GXVFTQ5Y&lid=LSTMOBG6VF5GXVFTQ5YIPHO6N&marketplace=FLIPKART&q=iphone&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=a48fe4b5-22e3-4cf2-a18b-fc4d326c6c2f.MOBG6VF5GXVFTQ5Y.SEARCH&ppt=sp&ppn=sp&ssid=oczu6syyj40000001723732213347&qH=0b3f45b266a97d70
14,"Apple iPhone 12 (Blue, 64 GB)","38,999",https://flipkart.com//apple-iphone-12-blue-64-gb/p/itm5778ad0d0d255?pid=MOBFWBYZ8DNJNY7N&lid=LSTMOBFWBYZ8DNJNY7NMWAWOJ&marketplace=FLIPKART&q=iphone&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=a48fe4b5-22e3-4cf2-a18b-fc4d326c6c2f.MOBFWBYZ8DNJNY7N.SEARCH&ppt=sp&ppn=sp&ssid=oczu6syyj40000001723732213347&qH=0b3f45b266a97d70
15,"Apple iPhone 15 (Yellow, 128 GB)","69,999",https://flipkart.com//apple-iphone-15-yellow-128-gb/p/itm825e4ad0b80ca?pid=MOBGTAGPDTKHHHZU&lid=LSTMOBGTAGPDTKHHHZUTQZRMS&marketplace=FLIPKART&q=iphone&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=a48fe4b5-22e3-4cf2-a18b-fc4d326c6c2f.MOBGTAGPDTKHHHZU.SEARCH&ppt=sp&ppn=sp&ssid=oczu6syyj40000001723732213347&qH=0b3f45b266a97d70
16,"Apple iPhone 15 Plus (Green, 128 GB)","79,999",https://flipkart.com//apple-iphone-15-plus-green-128-gb/p/itmaa50abb5e6c3b?pid=MOBGTAGPJVGHTAYC&lid=LSTMOBGTAGPJVGHTAYCTGIMN2&marketplace=FLIPKART&q=iphone&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=a48fe4b5-22e3-4cf2-a18b-fc4d326c6c2f.MOBGTAGPJVGHTAYC.SEARCH&ppt=sp&ppn=sp&ssid=oczu6syyj40000001723732213347&qH=0b3f45b266a97d70
17,"Apple iPhone 13 (Green, 128 GB)","50,999",https://flipkart.com//apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZUXUVYB&marketplace=FLIPKART&q=iphone&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=a48fe4b5-22e3-4cf2-a18b-fc4d326c6c2f.MOBGC9VGSU9DWGJZ.SEARCH&ppt=sp&ppn=sp&ssid=oczu6syyj40000001723732213347&qH=0b3f45b266a97d70
18,"Apple iPhone 15 (Black, 512 GB)","99,999",https://flipkart.com//apple-iphone-15-black-512-gb/p/itm232a6b488abe2?pid=MOBGTAGPEXNGM7BM&lid=LSTMOBGTAGPEXNGM7BMOE3LR2&marketplace=FLIPKART&q=iphone&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=a48fe4b5-22e3-4cf2-a18b-fc4d326c6c2f.MOBGTAGPEXNGM7BM.SEARCH&ppt=sp&ppn=sp&ssid=oczu6syyj40000001723732213347&qH=0b3f45b266a97d70
19,"Apple iPhone 14 Plus (Starlight, 128 GB)","59,999",https://flipkart.com//apple-iphone-14-plus-starlight-128-gb/p/itmc922ddc8af349?pid=MOBGHWFHVCB2YZYR&lid=LSTMOBGHWFHVCB2YZYRBDOEVN&marketplace=FLIPKART&q=iphone&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=a48fe4b5-22e3-4cf2-a18b-fc4d326c6c2f.MOBGHWFHVCB2YZYR.SEARCH&ppt=sp&ppn=sp&ssid=oczu6syyj40000001723732213347&qH=0b3f45b266a97d70
20,"Apple iPhone 15 Plus (Yellow, 128 GB)","79,999",https://flipkart.com//apple-iphone-15-plus-yellow-128-gb/p/itm94bb31f2af05a?pid=MOBGTAGPVSMQYGZX&lid=LSTMOBGTAGPVSMQYGZXNTFFPK&marketplace=FLIPKART&q=iphone&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=a48fe4b5-22e3-4cf2-a18b-fc4d326c6c2f.MOBGTAGPVSMQYGZX.SEARCH&ppt=sp&ppn=sp&ssid=oczu6syyj40000001723732213347&qH=0b3f45b266a97d70
