,title,price,link
11,"REDMI 12 5G (Pastel Blue, 128 GB)","11,999",https://flipkart.com//redmi-12-5g-pastel-blue-128-gb/p/itme31bda84c6630?pid=MOBGS9T5T9GCCWJM&lid=LSTMOBGS9T5T9GCCWJMQ5SRHH&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGS9T5T9GCCWJM.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
12,"REDMI 12 5G (Jade Black, 128 GB)","11,999",https://flipkart.com//redmi-12-5g-jade-black-128-gb/p/itmb7b9567637d5c?pid=MOBGS9QU7QVWUWRD&lid=LSTMOBGS9QU7QVWUWRDWPHNEP&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGS9QU7QVWUWRD.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
13,"REDMI Note 12 5G (Mystique Blue, 256 GB)","15,999",https://flipkart.com//redmi-note-12-5g-mystique-blue-256-gb/p/itm315369373c048?pid=MOBGPGBZHPTYTRM4&lid=LSTMOBGPGBZHPTYTRM4EFA9G4&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGPGBZHPTYTRM4.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
14,"REDMI 12 5G (Pastel Blue, 256 GB)","14,449",https://flipkart.com//redmi-12-5g-pastel-blue-256-gb/p/itm80cc959e28dc7?pid=MOBGZF9PTEGX5JXZ&lid=LSTMOBGZF9PTEGX5JXZDA6KSK&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGZF9PTEGX5JXZ.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
15,"REDMI 12 5G (Moonstone Silver, 128 GB)","11,999",https://flipkart.com//redmi-12-5g-moonstone-silver-128-gb/p/itmde9eb55677a6b?pid=MOBGS9T5GBSYKBHM&lid=LSTMOBGS9T5GBSYKBHMRXJLLH&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGS9T5GBSYKBHM.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
16,"REDMI 12 (Jade Black, 128 GB)","9,999",https://flipkart.com//redmi-12-jade-black-128-gb/p/itmb7050ec01c09f?pid=MOBGRMFKTHKQSJEG&lid=LSTMOBGRMFKTHKQSJEGQK3FM2&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGRMFKTHKQSJEG.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
17,"REDMI 12 5G (Pastel Blue, 128 GB)","11,990",https://flipkart.com//redmi-12-5g-pastel-blue-128-gb/p/itm0c8ba13f6fc5b?pid=MOBGZF9PFZMY6YCH&lid=LSTMOBGZF9PFZMY6YCH3NEOU0&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGZF9PFZMY6YCH.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
18,"REDMI 12C (Royal Blue, 64 GB)","8,499",https://flipkart.com//redmi-12c-royal-blue-64-gb/p/itma7369ea9d71de?pid=MOBGZH87QEDZJB9Y&lid=LSTMOBGZH87QEDZJB9YK9F9BG&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGZH87QEDZJB9Y.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
19,"REDMI 12 5G (Jade Black, 128 GB)","12,699",https://flipkart.com//redmi-12-5g-jade-black-128-gb/p/itm0c8ba13f6fc5b?pid=MOBGZF9PDX26QCFH&lid=LSTMOBGZF9PDX26QCFHYVCQSO&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGZF9PDX26QCFH.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
20,"REDMI Note 12 (Sunrise Gold, 64 GB)","12,299",https://flipkart.com//redmi-note-12-sunrise-gold-64-gb/p/itm90129bf788874?pid=MOBGZF9PABHKTHVD&lid=LSTMOBGZF9PABHKTHVDAAG6YG&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGZF9PABHKTHVD.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
